"Geschäft";"Geschäfts ID";"Eröffnungsdatum";"Datum geschlossen";"Bestellnummer";"Währung";"Zahlungsart";"Betrag Trinkgeld"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 09:55:26";"2025-01-03 10:01:09";"F9D63B34-83ED-45E7-93D9-2D66BC67CFEE";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 10:01:12";"2025-01-03 10:04:07";"AF8CFD72-D1A4-4642-A6B1-F3DC27669A35";"EUR";"SumUp";"1,65"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 10:04:15";"2025-01-03 10:07:12";"6EC7D7B4-A30A-4EE1-94AA-423145990E32";"EUR";"SumUp";"0,80"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 10:07:22";"2025-01-03 10:12:55";"8CB6EBFA-9122-483A-A9AB-8BBEB32C3CEB";"EUR";"SumUp";"1,37"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 10:16:37";"2025-01-03 10:31:37";"1BF177F2-FB20-4EE3-9AAC-5D38C9E15C40";"EUR";"SumUp";"1,58"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 10:32:02";"2025-01-03 10:34:03";"B81ACD87-BC27-4EDD-8ED5-6F360BDA3D5D";"EUR";"Barzahlung";"0,10"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 11:40:34";"2025-01-03 11:41:16";"58D6286B-E637-4836-8931-3614D8014792";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 11:41:35";"2025-01-03 11:42:06";"91A94869-F2E0-465C-83D5-DC22A0EAA543";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 11:42:11";"2025-01-03 11:48:35";"FF379B18-21B2-442F-93D1-F5356B687FD8";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 11:52:14";"2025-01-03 11:53:23";"7C11CB85-7494-4F67-8FB4-8E19F01DF872";"EUR";"SumUp";"2,21"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 12:03:46";"2025-01-03 12:04:56";"195B62FD-D003-4419-A80D-D57ADFB59575";"EUR";"SumUp";"1,30"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 12:08:47";"2025-01-03 12:09:51";"9E83AB23-26F5-4623-8F99-0D4E8AC0032F";"EUR";"SumUp";"1,18"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 12:14:41";"2025-01-03 12:15:46";"E8F291B0-E8B9-4A4F-BF77-B2299A31D46D";"EUR";"SumUp";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 12:17:45";"2025-01-03 12:20:53";"3CB6C844-4B3E-4452-A1F1-381E4FD8702C";"EUR";"SumUp";"3,27"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 13:05:55";"2025-01-03 13:09:48";"74CA18D1-EFCB-4244-8D49-F198439BA416";"EUR";"SumUp";"1,86"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 13:28:34";"2025-01-03 13:29:49";"F943EEA1-1CDE-4D5D-9A77-D06DA30465F1";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 14:10:38";"2025-01-03 14:11:39";"E9B0EC7F-7FAD-44E0-8BB3-108364018900";"EUR";"SumUp";"1,36"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 14:25:30";"2025-01-03 14:25:49";"714A0012-2F7C-47B9-9FC2-D995A199A0AC";"EUR";"SumUp";"1,09"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 13:54:43";"2025-01-03 14:48:30";"AD06D277-3C9B-4DE8-A86E-826DE026DBDC";"EUR";"SumUp";"2,38"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 14:50:45";"2025-01-03 14:54:26";"4267BED2-779F-4C8B-9BEF-C29F3AB83456";"EUR";"SumUp";"1,20"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03 14:57:40";"2025-01-03 14:58:06";"DF3A7271-E860-4B5B-A1FC-65589B62D0D2";"EUR";"SumUp";"1,00"
