"Geschäft";"Geschäfts ID";"Eröffnungsdatum";"Datum geschlossen";"Bestellnummer";"Währung";"Steuersatz";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"MwSt.-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 09:28:49";"2025-04-01 09:41:27";"D62896FD-37F1-42A4-8DC5-865A309F93A2";"EUR";"";"18,90";"17,65";"1,25"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 09:41:39";"2025-04-01 09:41:42";"D17BCB63-48D5-44FE-AF1C-6080F40CF835";"EUR";"";"6,60";"6,17";"0,43"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 09:58:20";"2025-04-01 10:00:29";"76B63E46-299A-4936-8A9A-95B2584BC851";"EUR";"";"5,00";"4,67";"0,33"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:06:23";"2025-04-01 10:07:20";"EEDD2398-1E15-4A51-A672-F009AA14EAD8";"EUR";"";"14,50";"13,55";"0,95"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:21:21";"2025-04-01 10:21:56";"E4059124-2764-4B42-8980-544F12A45548";"EUR";"";"16,80";"15,69";"1,11"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:21:21";"2025-04-01 10:21:56";"E4059124-2764-4B42-8980-544F12A45548";"EUR";"";"4,20";"3,53";"0,67"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:24:51";"2025-04-01 10:24:53";"2156F246-5D21-44FA-94F5-10946037B9AD";"EUR";"";"6,20";"5,79";"0,41"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:27:36";"2025-04-01 10:48:02";"9F6805A5-F9DA-4C6A-AEEA-2A179E700F42";"EUR";"";"3,30";"3,08";"0,22"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:27:36";"2025-04-01 10:48:02";"9F6805A5-F9DA-4C6A-AEEA-2A179E700F42";"EUR";"";"7,60";"6,39";"1,21"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:48:07";"2025-04-01 10:48:09";"60EF61C7-5E3A-4DCC-8044-360D743DE70F";"EUR";"";"6,20";"5,79";"0,41"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:00:35";"2025-04-01 10:55:15";"54FC9305-523C-40CB-8E11-543C6791F1E0";"EUR";"";"18,60";"17,38";"1,22"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:00:35";"2025-04-01 10:55:15";"54FC9305-523C-40CB-8E11-543C6791F1E0";"EUR";"";"14,80";"12,44";"2,36"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:55:17";"2025-04-01 10:56:42";"B4D48773-B593-4F1B-9350-7039E3175BB8";"EUR";"";"9,50";"8,87";"0,63"
