"Gewinn und Verlust";""
"Neckar Wave Foods";"Datum: 17.07.2025"
"Untere Neckarstrasse 24";"Zeitraum: 01.01.2025 - 31.03.2025"
"69117 Heidelberg";""
"";""
"Gewinn";"3343,9185000021"
"Umsatzsteuerpflichtige Betriebseinnahmen";"137249,34"
"nicht umsatzsteuerbare Betriebseinnahmen";"802,1"
"Summe Betriebseinnahmen";"138051,44"
"Direkte Kosten";"98887,69"
"Materialeinkauf";"22220,69"
"Wareneinkauf";"9875,36"
"Lohn / Gehalt";"43701,49"
"Krankenkasse";"20130,62"
"Fortbildung / Weiterbildung";"126,05"
"Pauschale Steuer für Aushilfen";"2513,07"
"Verrechnungskonto Gutscheine";"320,41"
"Indirekte Kosten";"30890,431"
"Miete / Pacht";"9307,53"
"Sonstige Abgaben";"1056,89"
"Strom, Wasser, Gas";"6199,57"
"Leasing/Mietwagen";"598,26"
"Mobil";"19,51"
"Bürobedarf";"1076,41"
"Porto";"511,34"
"Benzin";"658,69"
"Marketing / Werbekosten";"282,32"
"Software-Miete / Lizenzen";"2308,08"
"Sonstige Anschaffungen";"50,4"
"Stellplatz/Garagenmiete";"7,56"
"Nicht abzugsfähige Bewirtung 30%";"-21,609"
"Bewirtungskosten / Geschäftsessen";"154,58"
"Reinigung / Reinigungsmittel";"359,03"
"Dienstleister / Agenturen / Freelancer";"1115,61"
"Mahngebühren";"10"
"Instandhaltung Räume / Gebäude";"5091,67"
"Kontoführung / Kartengebühren";"444,74"
"KFZ-Versicherung";"975,55"
"Versicherungen / Beiträge";"153"
"Verpflegungsmehraufwand";"69,28"
"Sonstige KFZ-Kosten";"20"
"Internet";"59,98"
" Übernachtungskosten / Frühstück";"229,04"
"Betriebshaftpflicht";"153"
"Abschreibungen";"4929,4004999979"
"Kauf einer Maschine";"3352,16"
"Sonstige Anschaffungen";"1532,07"
"Bürobedarf";"45,16"
"Summe Betriebsausgaben";"134707,5215"
