"Gewinn und Verlust";""
"Neckar Wave Foods";"Datum: 17.07.2025"
"Untere Neckarstrasse 24";"Zeitraum: 01.04.2025 - 30.06.2025"
"69117 Heidelberg";""
"";""
"Gewinn";"7658,4149166692"
"Umsatzsteuerpflichtige Betriebseinnahmen";"163602,73"
"nicht umsatzsteuerbare Betriebseinnahmen";"957"
"Summe Betriebseinnahmen";"164559,73"
"Direkte Kosten";"125155,01"
"Materialeinkauf";"31546,22"
"Wareneinkauf";"16547,45"
"Lohn / Gehalt";"50635,46"
"Krankenkasse";"22855,58"
"Pauschale Steuer für Aushilfen";"3088,25"
"Fortbildung / Weiterbildung";"105,05"
"Verrechnungskonto Gutscheine";"377"
"Indirekte Kosten";"26035,06"
"Miete / Pacht";"9307,53"
"Strom, Wasser, Gas";"3357,99"
"Leasing/Mietwagen";"897,39"
"Porto";"167,04"
"Benzin";"521,97"
"Reinigung / Reinigungsmittel";"780,46"
"Bahn- / Flugticket, Mietwagen";"34,83"
"Software-Miete / Lizenzen";"2168,19"
"Bürobedarf";"2275,94"
"Internet";"89,97"
"Sonstige Anschaffungen";"540,16"
"Dienstleister / Agenturen / Freelancer";"290,58"
"Mobil";"35,37"
"Sonstige KFZ-Kosten";"47,5"
"Marketing / Werbekosten";"190,11"
"Werbegeschenke / Sponsoring";"182,77"
"Mahngebühren";"7,5"
"Innungs- und Verbandsbeiträge";"2077,81"
"Inspektion/Reparatur";"272,3"
"Kleingeräte";"1047,82"
"Instandhaltung Räume / Gebäude";"206,78"
"Verpflegungsmehraufwand";"11,57"
"Instandhaltung Maschinen";"1246,5"
"Sonstige Abgaben";"55,07"
"Fahrtkosten";"10,71"
"Reisekosten Verpflegungsmehraufwand Arbeitnehmer";"52,73"
"Kontoführung / Kartengebühren";"105,91"
"Betriebliche Besprechungen";"20,34"
"Zeitschriften / Bücher";"32,22"
"Abschreibungen";"5711,2450833308"
"Kauf einer Maschine";"3693,46"
"Sonstige Anschaffungen";"1532,07"
"Kleingeräte";"485,71"
"Summe Betriebsausgaben";"156901,31508333"
